because_CS,0.515895546,Absolute value then sorted from greatest to least,Mean,Median,,because_CS,0.515895546,Filter for words above the mean,because_CS,0.515895546,Get their original values,because_CS,0.515895546,,because_CS,0.515895546,All the positive values,Mean,Median,,because_CS,0.515895546,Filtered words >= to the Mean,,decision_NN,-0.107549152,All the negative values,Mean,Median,,office_NN,-0.179411725,Filtered words <= to the Mean,,,because_CS,Total: 176 Words
that's_DT,0.495179924,,0.107014761,0.083375507,,that's_DT,0.495179924,,that's_DT,0.495179924,,that's_DT,0.495179924,,that's_DT,0.495179924,,0.192630528,0.178884042,,that's_DT,0.495179924,Total = 112 words,,ensure_VB,-0.108253498,,-0.178273039,-0.16722061,,bad_JJ,-0.18046086,Total = 64 words,,,that's_DT,
we've_PPSS,0.444663974,,,,,we've_PPSS,0.444663974,,we've_PPSS,0.444663974,,we've_PPSS,0.444663974,,we've_PPSS,0.444663974,,0.192630528,,,we've_PPSS,0.444663974,,,best_JJT,-0.108275397,,-0.178273039,,,history_NN,-0.180676704,,,,we've_PPSS,
why_WRB,0.433132429,,,,,why_WRB,0.433132429,,why_WRB,0.433132429,,why_WRB,0.433132429,,why_WRB,0.433132429,,0.192630528,,,why_WRB,0.433132429,,,for_CS,-0.110337017,,-0.178273039,,,public_JJ,-0.181741906,,,,why_WRB,
obama_NP,0.403758908,,,,,obama_NP,0.403758908,,folks_NNS,0.39123346,,obama_NP,-0.403758908,,folks_NNS,0.39123346,,0.192630528,,,folks_NNS,0.39123346,,,human_JJ,-0.110766619,,-0.178273039,,,as_CS,-0.182471746,,,,folks_NNS,
folks_NNS,0.39123346,,,,,folks_NNS,0.39123346,,so_CS,0.381141065,,folks_NNS,0.39123346,,so_CS,0.381141065,,0.192630528,,,so_CS,0.381141065,,,encourage_VB,-0.110901559,,-0.178273039,,,someone_PN,-0.183430705,,,,so_CS,
so_CS,0.381141065,,,,,so_CS,0.381141065,,got_VBD,0.355659596,,so_CS,0.381141065,,got_VBD,0.355659596,,0.192630528,,,got_VBD,0.355659596,,,small_JJ,-0.111297248,,-0.178273039,,,other_AP,-0.184391822,,,,got_VBD,
got_VBD,0.355659596,,,,,got_VBD,0.355659596,,that_CS,0.351645668,,got_VBD,0.355659596,,that_CS,0.351645668,,0.192630528,,,that_CS,0.351645668,,,debt_NN,-0.111950377,,-0.178273039,,,many_AP,-0.184587362,,,,that_CS,
greater_JJR,0.354763159,,,,,greater_JJR,0.354763159,,everybody_PN,0.344145376,,greater_JJR,-0.354763159,,everybody_PN,0.344145376,,0.192630528,,,everybody_PN,0.344145376,,,defense_NN,-0.112315599,,-0.178273039,,,until_CS,-0.185583518,,,,everybody_PN,
government_NN,0.353634135,,,,,government_NN,0.353634135,,college_NN,0.336406315,,government_NN,-0.353634135,,college_NN,0.336406315,,0.192630528,,,college_NN,0.336406315,,,man_NN,-0.112757615,,-0.178273039,,,wealth_NN,-0.187943345,,,,college_NN,
that_CS,0.351645668,,,,,that_CS,0.351645668,,decade_NN,0.331456087,,that_CS,0.351645668,,decade_NN,0.331456087,,0.192630528,,,decade_NN,0.331456087,,,america_NP,-0.113319569,,-0.178273039,,,lead_VB,-0.187948695,,,,decade_NN,
everybody_PN,0.344145376,,,,,everybody_PN,0.344145376,,what_WDT.,0.328489365,,everybody_PN,0.344145376,,what_WDT.,0.328489365,,0.192630528,,,what_WDT.,0.328489365,,,system_NN,-0.115690332,,-0.178273039,,,senator_NN,-0.188189561,,,,what_WDT.,
college_NN,0.336406315,,,,,college_NN,0.336406315,,laughter_NP,0.327959378,,college_NN,0.336406315,,laughter_NP,0.327959378,,0.192630528,,,laughter_NP,0.327959378,,,join_VB,-0.11673118,,-0.178273039,,,answer_NN,-0.188268245,,,,laughter_NP,
elected_VBN,0.333500386,,,,,elected_VBN,0.333500386,,work_VB,0.323048656,,elected_VBN,-0.333500386,,work_VB,0.323048656,,0.192630528,,,work_VB,0.323048656,,,exactly_RB,-0.117247516,,-0.178273039,,,courage_NN,-0.189740978,,,,work_VB,
decade_NN,0.331456087,,,,,decade_NN,0.331456087,,roads_NNS,0.314606599,,decade_NN,0.331456087,,roads_NNS,0.314606599,,0.192630528,,,roads_NNS,0.314606599,,,access_NN,-0.117282169,,-0.178273039,,,protect_VB,-0.191553564,,,,roads_NNS,
what_WDT.,0.328489365,,,,,what_WDT.,0.328489365,,you_PPSS,0.313561212,,what_WDT.,0.328489365,,you_PPSS,0.313561212,,0.192630528,,,you_PPSS,0.313561212,,,words_NNS,-0.117512278,,-0.178273039,,,percent_NN,-0.191600687,,,,you_PPSS,
laughter_NP,0.327959378,,,,,laughter_NP,0.327959378,,together_RB,0.309332391,,laughter_NP,0.327959378,,together_RB,0.309332391,,0.192630528,,,together_RB,0.309332391,,,goal_NN,-0.118977445,,-0.178273039,,,often_RB,-0.192339002,,,,together_RB,
work_VB,0.323048656,,,,,work_VB,0.323048656,,just_RB,0.307049134,,work_VB,0.323048656,,just_RB,0.307049134,,0.192630528,,,just_RB,0.307049134,,,spending_VBG,-0.119473344,,-0.178273039,,,am_BEM,-0.19267924,,,,just_RB,
roads_NNS,0.314606599,,,,,roads_NNS,0.314606599,,this_DT,0.306786874,,roads_NNS,0.314606599,,this_DT,0.306786874,,0.192630528,,,this_DT,0.306786874,,,than_CS,-0.121886377,,-0.178273039,,,honor_NN,-0.194184666,,,,this_DT,
you_PPSS,0.313561212,,,,,you_PPSS,0.313561212,,now_RB,0.305530941,,you_PPSS,0.313561212,,now_RB,0.305530941,,0.192630528,,,now_RB,0.305530941,,,market_NN,-0.122741396,,-0.178273039,,,become_VB,-0.196730291,,,,now_RB,
of_IN,0.31330516,,,,,of_IN,0.31330516,,we_PPSS,0.304108393,,of_IN,-0.31330516,,we_PPSS,0.304108393,,0.192630528,,,we_PPSS,0.304108393,,,confidence_NN,-0.123264051,,-0.178273039,,,clinton_NP,-0.196828854,,,,we_PPSS,
together_RB,0.309332391,,,,,together_RB,0.309332391,,willing_JJ,0.301895877,,together_RB,0.309332391,,willing_JJ,0.301895877,,0.192630528,,,willing_JJ,0.301895877,,,free_JJ,-0.123532532,,-0.178273039,,,control_NN,-0.197346195,,,,willing_JJ,
just_RB,0.307049134,,,,,just_RB,0.307049134,,sick_JJ,0.300687652,,just_RB,0.307049134,,sick_JJ,0.300687652,,0.192630528,,,sick_JJ,0.300687652,,,raising_VBG,-0.12388414,,-0.178273039,,,ways_NNS,-0.197615413,,,,sick_JJ,
this_DT,0.306786874,,,,,this_DT,0.306786874,,chance_NN,0.299321085,,this_DT,0.306786874,,chance_NN,0.299321085,,0.192630528,,,chance_NN,0.299321085,,,drug_NN,-0.124397965,,-0.178273039,,,interests_NNS,-0.201180462,,,,chance_NN,
now_RB,0.305530941,,,,,now_RB,0.305530941,,4_CD,0.298722269,,now_RB,0.305530941,,4_CD,0.298722269,,0.192630528,,,4_CD,0.298722269,,,leadership_NN,-0.125408616,,-0.178273039,,,heart_NN,-0.202283748,,,,4_CD,
