Year,President,Party,but_CC,or_CC,nor_CC,without_IN,unless_IN,although_IN,except_IN,terrible_JJ,afraid_JJ,disappointed_JJ,weak_JJ,crazy_JJ,lonely_JJ,suspicious_JJ,inadequate_JJ,worthless_JJ,vain_JJ,dumb_JJ,ignorant_JJ,inferior_JJ,boring_JJ,action_NN,fear_NN,enemy_NN,loss_NN,greed_NN,tragedy_NN,anger_NN,jerk_NN,hated_NN,agony_NN,anguish_NN,lies_NNS,my_PP$,me_PPO,myself_PPL,mine_PP$$,i_PPSS,i'm_PPSS,i've_PPSS,i'll_PPSS,i'd_PPSS,rather_RB,however_RB,besides_RB,sorry_UH,go_VB,take_VB,look_VB,lead_VB,move_VB,run_VB,walk_VB,drive_VB,follow_VB,carry_VB,hate_VB,lie_VB,abandon_VB,arrive_VB,despise_VB,dislike_VB,moved_VBD,followed_VBD,flew_VBD,lied_VBD,going_VBG,taking_VBG,bringing_VBG,carrying_VBG,driven_VBN,arrived_VBN,fled_VBN,goes_VBZ,hates_VBZ,arrives_VBZ,win/loss
1992,clinton920416.txt,Democrat,19,11,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,6,0,1,21,1,5,0,0,2,0,0,0,7,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
1992,clinton920422.txt,Democrat,25,12,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,50,10,0,3,1,1,0,0,0,20,1,9,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,1,0,0,1
1992,clinton920716.txt,Democrat,41,17,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,31,15,0,0,90,2,1,2,0,0,0,0,0,5,6,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,1
1992,clinton920814.txt,Democrat,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,clinton921002.txt,Democrat,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1994,clinton930217.txt,Democrat,41,19,0,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9,21,0,0,104,0,1,2,2,0,0,0,0,7,6,3,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,1,0,0,1
1994,clinton930430.txt,Democrat,66,37,0,6,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,23,31,1,0,167,3,10,2,5,0,1,0,0,12,12,5,3,2,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,30,3,1,0,2,0,0,4,0,0,1
1994,clinton940125.txt,Democrat,40,18,1,11,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,14,12,0,0,85,2,1,0,2,0,0,0,0,7,11,4,0,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,1,0,0,1
1994,clinton940201.txt,Democrat,19,11,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,49,4,0,0,0,0,0,1,0,8,7,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,1
1994,clinton940315.txt,Democrat,57,28,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,21,24,3,1,145,28,9,4,3,0,1,0,0,17,6,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,1
