President,ABN,ABX,AP,AT,BE,BED,BEDZ,BEG,BEM,BEN,BER,BEZ,CC,CD,CS,DO,DOD,DOZ,DT,DTI,DTS,EX,HV,HVD,HVG,HVZ,IN,JJ,JJR,JJS,JJT,MD,NIL,NN,NN$,NNS,NP,NP$,NPS,NR,OD,PN,PP$,PPLS,PPO,PPS,PPSS,QL,QLP,RB,RBR,RN,RP,TO,UH,VB,VBD,VBG,VBN,VBZ,WDT.,WP$,WPS,WQL,WRB
clinton920416.txt,0.0021049,0.0003827,0.00975885,0.0765405,0.0034443,0.00057405,0.0034443,0.00057405,0,0.0017222,0.00363565,0.00612325,0.0430536,0.0095675,0.0170303,0.0024876,0.00057405,0.0007654,0.0055492,0.00133945,0.0019135,0.00019135,0.0059319,0.00095675,0,0.0034443,0.0903186,0.03597395,0.00057405,0,0.0019135,0.0164562,0,0.09318775,0.0007654,0.03960955,0.00746275,0.00133945,0.0017222,0.00344435,0.0011481,0.0019135,0.0200919,0.00057405,0.00420975,0.00382705,0.02774605,0.0066973,0,0.01970925,0.00133945,0.0003827,0.0057406,0.021814,0,0.0413318,0.0057405,0.0082281,0.003827,0.0015308,0.0045924,0.0007654,0.006506,0.00019135,0.00306165
clinton920422.txt,0.00332069,0,0.01067355,0.0685479,0.0059298,0.0014231,0.0033207,0.00023719,0,0.00094877,0.00474379,0.0099621,0.0405601,0.01304551,0.02371917,0.0094877,0.00166029,0.00118596,0.01209679,0.00260908,0.00118595,0.00166038,0.0085389,0.0021347,0,0.0021347,0.08491359,0.02063548,0.00047438,0,0.00142314,0.01660336,0,0.08799761,0,0.03913652,0.00332062,0.00047438,0.00118596,0.00355784,0.00142319,0.00355786,0.01328265,0.00023719,0.02110998,0.00664134,0.05431701,0.00403229,0,0.02419352,0.00284638,0.00047438,0.01043642,0.023482,0.00023719,0.05455373,0.00853883,0.00948767,0.00545547,0.00237191,0.0116223,0,0.00735298,0.00071157,0.00782727
clinton920716.txt,0.0053742,0.00039809,0.00736461,0.0668782,0.0047771,0.00039809,0.00278664,0.00059713,0.0019904,0.00059713,0.0063694,0.0093551,0.0445856,0.00497613,0.0189092,0.0073646,0.00099522,0.00079617,0.01313699,0.00079618,0.00179139,0.00179144,0.00696659,0.00079618,0,0.004578,0.08041435,0.02766708,0.00119426,0,0.00079617,0.01871018,0,0.08479304,0.00019904,0.03085185,0.01333605,0,0.00258753,0.00417992,0.00079617,0.00199043,0.02726927,0.00039809,0.02010338,0.01413216,0.04498401,0.00537416,0.00039809,0.03164803,0.00218949,0.0013933,0.00656849,0.016919,0.00019904,0.04080407,0.00816077,0.00835989,0.00557321,0.00298564,0.00477708,0,0.00617044,0.00019904,0.00696648
clinton920814.txt,0.0028805,0.0019203,0.00576093,0.07249158,0.0033605,0.0014402,0.0024004,0,0,0.0014402,0.0043207,0.0072012,0.0436869,0.00384058,0.01968319,0.0019203,0,0,0.01248208,0.00048008,0.00384058,0.0019203,0.0033605,0.0014402,0,0.0052808,0.10177581,0.04224664,0.00096016,0,0,0.0196832,0,0.08833422,0.00048008,0.02592411,0.00528086,0.0019203,0.00288043,0.00336053,0.00432068,0.00144023,0.023524,0.00048008,0.00336053,0.00432065,0.02064324,0.00576086,0,0.01776281,0.00096016,0,0.00528086,0.018243,0,0.02640422,0.00288048,0.00240039,0.00336055,0.00096015,0.00240036,0.00048008,0.006721,0,0.00432073
clinton921002.txt,0,0,0.006579,0.08114,0.0032895,0.0010965,0.0032895,0,0.002193,0.0032895,0.004386,0.0065789,0.0372804,0,0.0186405,0.0010965,0,0.002193,0.010965,0.0010965,0.002193,0.0010965,0.002193,0.0010965,0,0.004386,0.1107456,0.0471489,0,0,0,0.0120615,0,0.0888159,0.0010965,0.0230265,0.0131579,0.002193,0,0.0032895,0,0.002193,0.0208334,0,0.0054825,0.0131579,0.013158,0.004386,0,0.024123,0.0010965,0.0010965,0.0010965,0.012061,0,0.0186405,0.0032895,0.002193,0.006579,0.0010965,0.004386,0,0.004386,0,0.0076755
clinton930217.txt,0.00583125,0.001555,0.01101468,0.0711417,0.0073863,0.0011663,0.00064792,0,0.00038875,0.0010367,0.0032396,0.0073863,0.036931,0.00855252,0.02941558,0.0051834,0.00142545,0.00103667,0.01580954,0.0033692,0.0027213,0.00155497,0.0067384,0.00038875,0.00025917,0.0024621,0.09472529,0.03252548,0.00194375,0,0.00129583,0.0226772,0,0.09394847,0.0007775,0.03848635,0.00336911,0.00051834,0.00272129,0.0045354,0.00129584,0.00259166,0.01879022,0.00064792,0.01438396,0.00609047,0.04392966,0.00505374,0.00038875,0.02228839,0.00362834,0.0007775,0.0028508,0.027472,0.00051834,0.04924188,0.00168457,0.00842293,0.00375792,0.00142541,0.00323955,0,0.007775,0,0.00233252
clinton930430.txt,0.00541722,0.00090287,0.01211339,0.0745619,0.0065458,0.00097811,0.0012038,0.00015048,0.00045143,0.0014295,0.0048905,0.0078248,0.0390486,0.00865235,0.02618305,0.00443905,0.00097811,0.00060191,0.01459635,0.0024829,0.0026333,0.00158006,0.0070725,0.00052667,0.00045143,0.0026334,0.09502625,0.0335561,0.00195617,0,0.00112851,0.0193363,0,0.09367117,0.00052667,0.03882228,0.003762,0.00045143,0.00263335,0.00398763,0.00112855,0.00263322,0.01873396,0.00082762,0.01422004,0.00669622,0.04228477,0.00519142,0.00052667,0.024979,0.00285899,0.00067715,0.00443905,0.027914,0.00030096,0.04566931,0.00398722,0.00947985,0.00406277,0.00165528,0.00383716,0.0000752,0.0087276,0.00067715,0.00338576
clinton940125.txt,0.00650606,0.00072289,0.01108426,0.0591571,0.0054217,0.0015663,0.0021687,0.00024096,0.00048193,0.0010843,0.00530118,0.0054217,0.036627,0.00722895,0.01710837,0.0051807,0.00060241,0.00096386,0.01180722,0.00180719,0.0044578,0.00204815,0.00530118,0.0013253,0.00036145,0.0027711,0.08349393,0.02734933,0.00240963,0,0.00156623,0.02048197,0,0.09228874,0.0007229,0.04253006,0.00481928,0.00036144,0.00289152,0.00289157,0.00144578,0.00373495,0.02421689,0.00024096,0.01771092,0.0073494,0.04120513,0.00566265,0.00024096,0.02289139,0.00228914,0.00072289,0.00566255,0.026386,0.00012048,0.05493947,0.00602409,0.00530119,0.00373493,0.00192769,0.00337353,0.00060241,0.01036138,0.00012048,0.00469883
clinton940201.txt,0.0043942,0.0010462,0.01339185,0.0713542,0.004185,0.0012555,0.0039757,0.00020925,0.0004185,0.0023017,0.0048127,0.00878845,0.0353634,0.00753285,0.02531935,0.0089977,0.00125545,0.00062775,0.0161121,0.0035572,0.0029295,0.00272025,0.01276425,0.0031387,0.0004185,0.0018832,0.0939529,0.0217619,0.001674,0,0.00020925,0.01653055,0,0.0949984,0.0004185,0.0357814,0.0039757,0,0.0020925,0.00334795,0.00209245,0.0039757,0.01067165,0.00062775,0.0150658,0.00774215,0.04603415,0.0062775,0,0.03034075,0.0020925,0.000837,0.00481275,0.023645,0.000837,0.0435237,0.00669595,0.0073237,0.0029295,0.002511,0.0096255,0,0.00816065,0,0.0069051
clinton940315.txt,0.00494396,0.00043946,0.00966828,0.0650406,0.0061525,0.0010987,0.0023072,0.0006592,0.00043946,0.0017579,0.00834983,0.00856957,0.0349376,0.0086794,0.02801593,0.0088992,0.00087893,0.00054933,0.01340363,0.0038454,0.0027466,0.003296,0.01274487,0.0024171,0.00043946,0.0020875,0.08734348,0.02867514,0.00164799,0,0.00043947,0.01878701,0,0.08283926,0.0003296,0.03065278,0.00274665,0,0.00054933,0.00153812,0.0020875,0.00527356,0.01384307,0,0.01549113,0.00659189,0.05449379,0.00736098,0.00021973,0.02955397,0.00120853,0.00076906,0.00747091,0.025379,0.0006592,0.04834118,0.00615254,0.01131625,0.00417497,0.00252697,0.00549327,0,0.0083498,0.00098879,0.00450453
