because_CS,0.515895546,,Mean,Median,,because_CS,0.515895546,Filter values >= Mean,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,because_CS,,obama_NP,-0.403758908,,Mean,Median,,obama_NP
that's_DT,0.495179924,,0.122416317,0.081441314,,that's_DT,0.495179924,,that's_DT,0.495179924,,that's_DT,0.495179924,,that's_DT,0.495179924,,0.318008784,0.332182847,,that's_DT,,greater_JJR,-0.354763159,,-0.204956137,-0.188189561,,greater_JJR
we've_PPSS,0.444663974,,,,,we've_PPSS,0.444663974,,we've_PPSS,0.444663974,,we've_PPSS,0.444663974,,we've_PPSS,0.444663974,,,,,we've_PPSS,,elected_VBN,-0.333500386,,,,,elected_VBN
why_WRB,0.433132429,,,,,why_WRB,0.433132429,,why_WRB,0.433132429,,why_WRB,0.433132429,,why_WRB,0.433132429,,,,,why_WRB,,will_MD,-0.300357651,,,,,will_MD
obama_NP,0.403758908,,,,,obama_NP,0.403758908,,obama_NP,0.403758908,,folks_NNS,0.39123346,,folks_NNS,0.39123346,,,,,folks_NNS,,spending_NN,-0.281608899,,,,,spending_NN
folks_NNS,0.39123346,,,,,folks_NNS,0.39123346,,folks_NNS,0.39123346,,so_CS,0.381141065,,so_CS,0.381141065,,,,,so_CS,,increase_NN,-0.274656529,,,,,increase_NN
so_CS,0.381141065,,,,,so_CS,0.381141065,,so_CS,0.381141065,,got_VBD,0.355659596,,got_VBD,0.355659596,,,,,got_VBD,,most_QL,-0.263435861,,,,,most_QL
got_VBD,0.355659596,,,,,got_VBD,0.355659596,,got_VBD,0.355659596,,that_CS,0.351645668,,that_CS,0.351645668,,,,,that_CS,,life_NN,-0.262964994,,,,,life_NN
greater_JJR,0.354763159,,,,,greater_JJR,0.354763159,,greater_JJR,0.354763159,,everybody_PN,0.344145376,,everybody_PN,0.344145376,,,,,everybody_PN,,dollars_NNS,-0.258265115,,,,,dollars_NNS
that_CS,0.351645668,,,,,that_CS,0.351645668,,that_CS,0.351645668,,college_NN,0.336406315,,college_NN,0.336406315,,,,,college_NN,,case_NN,-0.258074098,,,,,case_NN
everybody_PN,0.344145376,,,,,everybody_PN,0.344145376,,everybody_PN,0.344145376,,decade_NN,0.331456087,,laughter_NP,0.327959378,,,,,laughter_NP,,he_PPS,-0.253123811,,,,,he_PPS
college_NN,0.336406315,,,,,college_NN,0.336406315,,college_NN,0.336406315,,what_WDT.,0.328489365,,roads_NNS,0.314606599,,,,,Total = 11,,business_NN,-0.234270855,,,,,business_NN
elected_VBN,0.333500386,,,,,elected_VBN,0.333500386,,elected_VBN,0.333500386,,laughter_NP,0.327959378,,this_DT,0.306786874,,,,,,,has_HVZ,-0.229820048,,,,,has_HVZ
laughter_NP,0.327959378,,,,,laughter_NP,0.327959378,,laughter_NP,0.327959378,,work_VB,0.323048656,,sick_JJ,0.300687652,,,,,,,my_PP$,-0.227548444,,,,,my_PP$
roads_NNS,0.314606599,,,,,roads_NNS,0.314606599,,roads_NNS,0.314606599,,roads_NNS,0.314606599,,chance_NN,0.299321085,,,,,,,record_NN,-0.220874626,,,,,record_NN
this_DT,0.306786874,,,,,this_DT,0.306786874,,this_DT,0.306786874,,you_PPSS,0.313561212,,change_NN,0.232098805,,,,,,,wrong_JJ,-0.219115836,,,,,wrong_JJ
sick_JJ,0.300687652,,,,,sick_JJ,0.300687652,,sick_JJ,0.300687652,,together_RB,0.309332391,,applause_NN,0.142577087,,,,,,,reforms_NNS,-0.213416624,,,,,reforms_NNS
will_MD,0.300357651,,,,,will_MD,0.300357651,,will_MD,0.300357651,,just_RB,0.307049134,,to_TO,0.132682396,,,,,,,his_PP$,-0.209409068,,,,,his_PP$
chance_NN,0.299321085,,,,,chance_NN,0.299321085,,chance_NN,0.299321085,,this_DT,0.306786874,,that_WPS,0.129545376,,,,,,,cause_NN,-0.207304443,,,,,cause_NN
spending_NN,0.281608899,,,,,spending_NN,0.281608899,,spending_NN,0.281608899,,now_RB,0.305530941,,streets_NNS,0.124807066,,,,,,,direction_NN,-0.20510426,,,,,direction_NN
increase_NN,0.274656529,,,,,increase_NN,0.274656529,,increase_NN,0.274656529,,we_PPSS,0.304108393,,,,,,,,,,seek_VB,-0.202332527,,,,,Total = 20
most_QL,0.263435861,,,,,most_QL,0.263435861,,most_QL,0.263435861,,willing_JJ,0.301895877,,,,,,,,,,interests_NNS,-0.201180462,,,,,
life_NN,0.262964994,,,,,life_NN,0.262964994,,life_NN,0.262964994,,sick_JJ,0.300687652,,,,,,,,,,courage_NN,-0.189740978,,,,,
dollars_NNS,0.258265115,,,,,dollars_NNS,0.258265115,,dollars_NNS,0.258265115,,chance_NN,0.299321085,,,,,,,,,,senator_NN,-0.188189561,,,,,
case_NN,0.258074098,,,,,case_NN,0.258074098,,case_NN,0.258074098,,4_CD,0.298722269,,,,,,,,,,wealth_NN,-0.187943345,,,,,
he_PPS,0.253123811,,,,,he_PPS,0.253123811,,he_PPS,0.253123811,,investing_VBG,0.296872862,,,,,,,,,,history_NN,-0.180676704,,,,,
