Words,PCA dimension 0,PCA dimension 1,,because_CS,,obama_NP,Level 0,obama_NP,Overall Importance
all_ABN,-0.06275551,-0.002897624,,that's_DT,,spending_VBG,,greater_JJR,
more_AP,-0.029559353,-0.009502514,,we've_PPSS,,greater_JJR,,spending_VBG,
many_AP,-0.010237142,0.00818478,,why_WRB,,wealth_NN,,wealth_NN,
last_AP,-0.005551956,-0.003285724,,folks_NNS,,because_CS,,balanced_VBN,
other_AP,-0.005761825,0.004028189,,so_CS,,balanced_VBN,,because_CS,
same_AP,-0.003186428,-0.00107484,,got_VBD,,that's_DT,,choices_NNS,
next_AP,0.001348239,-0.000984241,,that_CS,,choices_NNS,,this_DT,
the_AT,-0.862361923,0.063926407,,everybody_PN,,laughter_NP,,laughter_NP,
a_AT,-0.347140464,-0.018941302,,college_NN,,senator_NN,,higher_JJR,
an_AT,-0.0337323,0.004407047,,decade_NN,,me_PPO,,my_PP$,
every_AT,-0.022647071,0.001988111,,what_WDT.,,this_DT,,cost_NN,
no_AT,-0.010668706,0.004597085,,laughter_NP,,direction_NN,,that's_DT,
be_BE,-0.080735432,-0.000598165,,work_VB,,cost_NN,,it_PPO,
were_BED,-0.010212716,-0.00016424,,roads_NNS,,has_HVZ,,has_HVZ,
was_BEDZ,-0.039070549,-0.003371435,,you_PPSS,,higher_JJR,,senator_NN,
am_BEM,0.000566101,0.003391631,,together_RB,,why_WRB,,direction_NN,
been_BEN,-0.022446756,-0.000251271,,just_RB,,third_OD,,dollars_NNS,
are_BER,-0.104245485,-0.008411393,,this_DT,,won't_MD,,me_PPO,
is_BEZ,-0.174555109,-0.00299348,,now_RB,,it_PPO,,we've_PPSS,
and_CC,-0.6688852,0.022015384,,we_PPSS,,interest_NN,,why_WRB,
but_CC,-0.078824297,-0.0104596,,willing_JJ,,friends_NNS,,spending_NN,
or_CC,-0.047388672,-0.009733297,,sick_JJ,,bill_NP,,bill_NP,
one_CD,-0.018890902,-0.000966946,,chance_NN,,on_IN,,cause_NN,
million_CD,0.000636073,-0.003877849,,4_CD,,my_PP$,,challenge_NN,
000_CD,0.000952149,-0.003448946,,investing_VBG,,we've_PPSS,,political_JJ,
four_CD,0.001734928,-0.004035177,,how_WRB,,dollars_NNS,,won't_MD,
two_CD,0.00206964,-0.001099378,,wealthiest_JJT,,political_JJ,,first_OD,
that_CS,-0.152935928,-0.025550748,,after_IN,,first_OD,,raise_VB,
as_CS,-0.062135719,0.013275381,,sure_JJ,,rates_NNS,,he_PPS,
if_CS,-0.038896419,-0.018455177,,afford_VB,,feel_VB,,yes_RB,
because_CS,-0.028939077,-0.01472839,,we'll_PPSS,,available_JJ,,increase_NN,
than_CS,-0.020113796,0.001178022,,breaks_VBZ,,roads_NNS,,on_IN,
so_CS,-0.008674823,-0.011326506,,right_QL,,chance_NN,,available_JJ,
like_CS,-0.007512845,-0.003866308,,here_RB,,he_PPS,,access_NN,
do_DO,-0.045382956,-0.018301707,,mccain_NP,,yes_RB,,rates_NNS,
don't_DO,-0.014437495,-0.016682081,,want_VB,,elected_VBN,,interest_NN,
did_DOD,0.003411662,-0.002645118,,go_VB,,fight_VB,,life_NN,
this_DT,-0.139082237,-0.014616086,,doing_VBG,,folks_NNS,,everybody_PN,
that_DT,-0.050752571,-0.010371824,,rebuilding_VBG,,spending_NN,,learned_VBD,
that's_DT,-0.038261106,-0.032780467,,that's_WPS,,increase_NN,,fight_VB,
another_DT,0.003098377,0.000972271,,forward_RB,,life_NN,,lost_VBN,
some_DTI,-0.013846406,-0.008165561,,you're_PPSS,,lost_VBN,,friends_NNS,
any_DTI,0.000199616,0.002832543,,young_JJ,,access_NN,,feel_VB,
