Speeches,we_PPSS,that_CS,this_DT,will_MD,that_DT,that's_DT,my_PP$,he_PPS,has_HVZ,because_CS,we've_PPSS,so_CS,his_PP$,why_WRB,senator_NN,college_NN,life_NN,most_QL,folks_NNS,everybody_PN,laughter_NP,percent_NN,business_NN,history_NN,mccain_NP,dollars_NNS,chance_NN,obama_NP,clinton_NP,wrong_JJ,interests_NNS,record_NN,bad_JJ,direction_NN,sick_JJ,spending_NN,greater_JJR,cause_NN,elected_VBN,courage_NN,wealth_NN,case_NN,roads_NNS,increase_NN,reforms_NNS,win/loss,Reduced by correlation then RFL
1992clinton920416.txt,0.013586,0.003253,0.0034443,0.0082281,0.0017222,0.00019135,0.0017222,0.0007654,0.0034443,0.0015308,0.00095675,0.0007654,0.0011481,0.00019135,0.00019135,0.0007654,0.00057405,0.0015308,0,0.00019135,0,0.0013395,0.0019135,0.00057405,0,0,0.00057405,0,0.0007654,0.00057405,0.00057405,0.00019135,0,0,0,0,0,0,0.00019135,0.0003827,0.00019135,0,0,0.00019135,0,1,
1992clinton920422.txt,0.010199,0.0056926,0.0064042,0.0023719,0.0035579,0.0018975,0.0014231,0.00071157,0.0021347,0.0035579,0.00094877,0.001186,0.00023719,0.0021347,0,0.0021347,0,0,0.00047438,0.00047438,0,0.0028463,0.00023719,0,0,0.00023719,0.00023719,0,0,0.00071157,0,0,0.00023719,0,0,0,0,0,0.00071157,0,0.00047438,0,0,0,0,1,
1992clinton920716.txt,0.013734,0.0059713,0.0057723,0.0049761,0.0033838,0.0023885,0.0061704,0.0061704,0.004578,0.0017914,0.00079618,0.00099522,0.00039809,0.0013933,0,0.00019904,0.0011943,0.00019904,0.00039809,0.00019904,0,0,0.00039809,0.00059713,0,0.00019904,0.00079618,0,0,0.00039809,0.00039809,0,0,0,0.0013933,0,0,0.0015924,0,0.00039809,0.00019904,0.00019904,0,0,0.00019904,1,
1992clinton920814.txt,0.012962,0.0043207,0.0091215,0.0081613,0.0028805,0,0.0024004,0.00096015,0.0052808,0,0,0.00096015,0.0014402,0,0,0,0,0.00048008,0,0,0,0,0.00096015,0.00096015,0,0,0,0,0,0,0.0024004,0.00048008,0,0,0,0.00048008,0,0,0,0,0,0,0,0,0,1,
1992clinton921002.txt,0.002193,0.004386,0.0054825,0.002193,0.002193,0,0.0010965,0.004386,0.004386,0,0,0,0.0032895,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0.0010965,0,0,0,0,0,0,0.002193,0,0,0,0,0,0,1,
1994clinton930217.txt,0.020086,0.0090709,0.011922,0.0098484,0.0022029,0.0011663,0.0011663,0,0.0024621,0.0019438,0.00012958,0.0012958,0,0.00090709,0,0.00051834,0.00051834,0.00090709,0,0.00012958,0.00038875,0.0020733,0.0016846,0.00064792,0,0.00038875,0.00012958,0,0,0,0.00025917,0,0,0.00064792,0.00012958,0.00064792,0.00025917,0,0,0.00025917,0,0,0.00012958,0.00025917,0,1,
1994clinton930430.txt,0.016553,0.0088782,0.010082,0.008201,0.0024829,0.00097811,0.0017305,0.00022572,0.0026334,0.0022572,0.00067715,0.00097811,0.00060191,0.00075239,0.00037619,0.0018057,0.00060191,0.00060191,0,0.00015048,0.00030096,0.00158,0.0010533,0.00060191,0,0.00022572,0.00030096,0,0,0.00037619,0.00030096,0,0.0000752,0.00067715,0.00015048,0.00037619,0.00015048,0,0,0.00015048,0,0,0.0000752,0.00022572,0,1,
1994clinton940125.txt,0.018193,0.0043373,0.0079518,0.0075904,0.0026506,0.00060241,0.0016867,0.0014458,0.0027711,0.0021687,0.00048193,0.00060241,0.00072289,0.00036145,0,0.00024096,0.00072289,0.00048193,0.00024096,0.00060241,0,0.00072289,0.00036145,0.00084337,0,0.00012048,0.00084337,0,0.00012048,0.00036145,0.00036145,0.00024096,0.00012048,0,0.00036145,0.00048193,0,0,0,0.00012048,0,0,0,0.00024096,0.00036145,1,
1994clinton940201.txt,0.018832,0.010672,0.0087884,0.0039757,0.0046035,0.0023017,0.00020925,0.000837,0.0018832,0.0029295,0.0010462,0.0023017,0,0.0014647,0.000837,0,0.00020925,0.0012555,0.0004185,0.00062775,0.00020925,0.000837,0.0014647,0,0,0.00020925,0.00020925,0,0.00020925,0,0,0,0,0.0004185,0.0004185,0,0,0,0,0,0,0,0,0.00020925,0.0004185,1,
1994clinton940315.txt,0.014722,0.0078005,0.0070314,0.0079103,0.0036256,0.0015381,0.0023072,0.00098879,0.0020875,0.003296,0.00076906,0.0035157,0.0003296,0.00054933,0.00043946,0.00076906,0.0003296,0.0003296,0,0.0015381,0.0003296,0.0010987,0.00043946,0,0,0,0.00021973,0,0.00021973,0,0.00010987,0.00021973,0.00021973,0,0.00021973,0.00043946,0,0,0.00010987,0,0,0,0,0.0003296,0.00010987,1,
