Speeches,to_TO,a_AT,i_PPSS,that_CS,this_DT,will_MD,on_IN,that_WPS,it_PPS,it_PPO,that's_DT,my_PP$,was_BEDZ,at_IN,he_PPS,has_HVZ,country_NN,because_CS,me_PPO,tax_NN,every_AT,i'm_PPSS,we've_PPSS,got_VBD,so_CS,his_PP$,had_HVD,why_WRB,take_VB,money_NN,let_VB,first_OD,job_NN,applause_NN,economic_JJ,senator_NN,even_RB,four_CD,change_NN,again_RB,college_NN,system_NN,life_NN,most_QL,folks_NNS,crisis_NN,everybody_PN,laughter_NP,business_NN,opportunity_NN,won't_MD,choice_NN,put_VB,history_NN,without_IN,bring_VB,cut_VB,each_DT,dollars_NNS,chance_NN,hard_JJ,times_NNS,obama_NP,meet_VB,values_NNS,reform_NN,parents_NNS,law_NN,cost_NN,spend_VB,three_CD,fight_VB,spending_VBG,friends_NNS,second_OD,raise_VB,political_JJ,only_AP,half_ABN,higher_JJR,like_VB,yes_RB,wrong_JJ,before_IN,interests_NNS,send_VB,number_NN,little_JJ,bill_NP,since_CS,record_NN,interest_NN,clean_JJ,bad_JJ,buy_VB,too_RB,person_NN,having_HVG,lost_VBN,entire_JJ,strength_NN,truth_NN,rates_NNS,stronger_JJR,medical_JJ,restore_VB,direction_NN,sick_JJ,spending_NN,greater_JJR,cause_NN,question_NN,deserve_VB,lose_VB,middle-class_NN,drugs_NNS,choices_NNS,offer_VB,challenge_NN,though_CS,longer_RBR,plans_NNS,drug_NN,prices_NNS,feel_VB,spirit_NN,elected_VBN,ones_NNS,learned_VBD,forget_VB,training_NN,innovation_NN,access_NN,courage_NN,thought_VBD,created_VBN,join_VB,parties_NNS,wealth_NN,case_NN,whatever_WDT.,resources_NNS,seek_VB,risk_NN,poverty_NN,sell_VB,roads_NNS,third_OD,increase_NN,share_NN,experience_NN,require_VB,reforms_NNS,differences_NNS,achieve_VB,worker_NN,student_NN,less_QL,known_VBN,mission_NN,open_VB,balanced_VBN,least_AP,500_CD,couple_NN,used_VBN,available_JJ,retirement_NN,ability_NN,liberty_NN,hands_NNS,republican_JJ,decision_NN,streets_NNS,win/loss,Reduced by RFL
1992clinton920416.txt,0.021814,0.020283,0.0040184,0.003253,0.0034443,0.0082281,0.0040184,0.0047838,0.0028703,0.0013395,0.00019135,0.0017222,0.0034443,0.0034443,0.0007654,0.0034443,0.0030616,0.0015308,0.0011481,0.0015308,0.0059319,0.00019135,0.00095675,0.00095675,0.0007654,0.0011481,0.00095675,0.00019135,0.0003827,0.00095675,0,0.00057405,0.00095675,0,0.0051665,0.00019135,0.0003827,0.0003827,0.0011481,0.0013395,0.0007654,0.0003827,0.00057405,0.0015308,0,0,0.00019135,0,0.0019135,0.0007654,0.00019135,0,0.0003827,0.00057405,0.00057405,0.0003827,0,0,0,0.00057405,0.0003827,0.0003827,0,0.00019135,0,0,0,0.00019135,0,0.00057405,0.0007654,0,0.00095675,0,0.0003827,0,0.00019135,0.0007654,0.0007654,0,0,0,0.00057405,0.00057405,0.00057405,0,0,0.00019135,0.00019135,0.0003827,0.00019135,0.00057405,0,0,0,0,0.0007654,0,0.00019135,0.00019135,0.00019135,0,0.00057405,0,0,0.0007654,0,0,0,0,0,0,0,0,0.0007654,0.0003827,0.00019135,0.00057405,0,0,0.00019135,0.0003827,0,0,0,0.0003827,0.00019135,0.00019135,0,0,0.00095675,0.00019135,0.0003827,0.0003827,0,0,0,0.00019135,0.00019135,0,0,0.00057405,0.0003827,0,0.0003827,0.00019135,0,0.00019135,0.00019135,0,0,0.00019135,0,0,0,0,0.00019135,0.0003827,0,0,0,0,0,0.00019135,0.00019135,0,0.00019135,0.00019135,0.00019135,0,0,0.00019135,0,0.00019135,1,
1992clinton920422.txt,0.023482,0.02277,0.01186,0.0056926,0.0064042,0.0023719,0.004981,0.0033207,0.0030835,0.0078273,0.0018975,0.0014231,0.0033207,0.0042694,0.00071157,0.0021347,0.0052182,0.0035579,0.0052182,0.0023719,0.0014231,0.0023719,0.00094877,0.0028463,0.001186,0.00023719,0.0021347,0.0021347,0.00023719,0.0028463,0.001186,0.001186,0.00047438,0,0.0016603,0,0.00071157,0.00094877,0.00023719,0.001186,0.0021347,0.0014231,0,0,0.00047438,0,0.00047438,0,0.00023719,0.00047438,0.00047438,0.00023719,0.00071157,0,0.00023719,0,0.00023719,0,0.00023719,0.00023719,0.00023719,0.0014231,0,0,0,0,0.00023719,0.00047438,0.00094877,0.00047438,0.00071157,0,0,0.00047438,0.00023719,0.00023719,0.00023719,0.00094877,0.00023719,0.00023719,0.00071157,0,0.00071157,0,0,0,0.00023719,0.00071157,0,0.00023719,0,0,0,0.00023719,0.00023719,0.00023719,0,0,0,0,0,0,0,0,0.00047438,0,0,0,0,0,0,0,0.00023719,0.00047438,0.00023719,0.00023719,0,0,0,0.00047438,0.00023719,0,0.00023719,0,0,0,0.00071157,0,0,0.00023719,0.00023719,0,0,0,0,0,0,0,0.00047438,0,0,0,0,0,0.00071157,0,0,0,0,0,0,0.00047438,0,0,0,0,0.00023719,0,0,0,0,0,0,0.00047438,0.00047438,0,0,0,0,0,0,0,0,0,1,
1992clinton920716.txt,0.016919,0.019904,0.017914,0.0059713,0.0057723,0.0049761,0.0049761,0.0029857,0.004379,0.0063694,0.0023885,0.0061704,0.0025876,0.0033838,0.0061704,0.004578,0.0037818,0.0017914,0.0027866,0.00019904,0.0035828,0.00039809,0.00079618,0.00039809,0.00099522,0.00039809,0.00079618,0.0013933,0.0011943,0.00079618,0.0013933,0.00019904,0,0,0.00059713,0,0.00099522,0.00059713,0.00079618,0.0025876,0.00019904,0.00039809,0.0011943,0.00019904,0.00039809,0,0.00019904,0,0.00039809,0.0015924,0.0021895,0.00039809,0.00019904,0.00059713,0.0011943,0,0.00039809,0.0011943,0.00019904,0.00079618,0.00039809,0.00039809,0,0.00019904,0.0013933,0,0.00039809,0.00039809,0,0,0.00019904,0.00059713,0.00039809,0.00019904,0.00019904,0.00079618,0.00019904,0.00019904,0,0.00019904,0,0.00019904,0.00039809,0.00039809,0.00039809,0,0,0.00079618,0.00019904,0,0,0,0,0,0,0.00079618,0.0013933,0,0.00019904,0,0.00019904,0,0,0,0.00019904,0.00019904,0,0.0013933,0,0,0.0015924,0,0.00039809,0,0.00039809,0.00059713,0.00039809,0.00059713,0,0.00019904,0,0,0,0,0.00039809,0.00019904,0,0,0.00039809,0,0.00019904,0,0,0.00039809,0,0,0.00059713,0,0.00019904,0.00019904,0.00019904,0,0,0,0.00019904,0,0,0,0,0.00019904,0,0,0.00019904,0,0,0,0.00019904,0.00019904,0,0,0,0.00039809,0,0,0,0,0,0,0,0.00019904,0.00019904,0,0.00019904,0.00039809,1,
1992clinton920814.txt,0.018243,0.015362,0.0028805,0.0043207,0.0091215,0.0081613,0.0028805,0.0033605,0.0033605,0.00096015,0,0.0024004,0.0024004,0.0024004,0.00096015,0.0052808,0.00048008,0,0.00048008,0,0.0014402,0,0,0,0.00096015,0.0014402,0.0014402,0,0.00048008,0,0,0.0019203,0,0,0.0024004,0,0.00096015,0,0.0024004,0,0,0,0,0.00048008,0,0,0,0,0.00096015,0.00048008,0,0,0,0.00096015,0.00048008,0.00048008,0,0.00048008,0,0,0,0,0,0.00048008,0.0014402,0,0,0,0,0,0,0,0,0.00096015,0.0019203,0.00048008,0,0,0,0,0,0,0,0,0.0024004,0,0.00048008,0,0,0,0.00048008,0.00096015,0,0,0,0,0,0,0,0,0.00096015,0.00048008,0,0,0,0.00048008,0,0,0.00048008,0,0,0,0,0,0,0,0,0.00048008,0,0,0.00048008,0,0,0,0,0,0,0,0,0.00096015,0.00048008,0.00048008,0,0,0,0,0,0,0,0,0.00048008,0.00096015,0,0.00096015,0,0,0,0.00048008,0,0,0,0.00048008,0,0,0,0,0,0,0,0.00096015,0,0,0,0,0,0,0,0,0,0.00048008,0,0.00048008,0,0,1,
1992clinton921002.txt,0.012061,0.025219,0.010965,0.004386,0.0054825,0.002193,0.0076754,0.004386,0.0087719,0.0010965,0,0.0010965,0.0032895,0.0065789,0.004386,0.004386,0,0,0,0,0,0,0,0,0,0.0032895,0.0010965,0,0,0,0.002193,0,0,0,0.0010965,0.0010965,0,0,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0.0010965,0,0,0,0,0,0.0010965,0,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032895,0.0010965,0,0,0,0,0,0.0010965,0.0010965,0,0,0,0,0,0,0,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0,0,0,0,0,0,0,0,0.002193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0,0,0,0.0010965,0,0,0.0010965,0,1,
1994clinton930217.txt,0.027472,0.01555,0.013477,0.0090709,0.011922,0.0098484,0.0064792,0.0038875,0.0058313,0.0036284,0.0011663,0.0011663,0.00051834,0.0024621,0,0.0024621,0.0032396,0.0019438,0.0027213,0.0028508,0.0023325,0,0.00012958,0.00051834,0.0012958,0,0.00038875,0.00090709,0.0007775,0.0011663,0.0016846,0.00038875,0.00012958,0,0.0014254,0,0.00038875,0.00012958,0.00090709,0.00090709,0.00051834,0.0010367,0.00051834,0.00090709,0,0.00012958,0.00012958,0.00038875,0.0016846,0.00038875,0.00012958,0,0.00051834,0.00064792,0.00025917,0.0007775,0.00090709,0.00051834,0.00038875,0.00012958,0.00025917,0.00012958,0,0.00038875,0.00025917,0.00090709,0.00025917,0,0.0007775,0.00038875,0.00012958,0,0.0010367,0.00012958,0.00051834,0.00025917,0.00038875,0.00051834,0.00038875,0.00038875,0.00038875,0.00012958,0,0.00012958,0.00025917,0.00012958,0,0,0,0.00051834,0,0.0016846,0,0,0.00012958,0.00038875,0,0.00025917,0,0.00012958,0,0.00025917,0.0007775,0.00038875,0.00012958,0.00012958,0.00064792,0.00012958,0.00064792,0.00025917,0,0,0.00012958,0,0,0,0.00012958,0.00051834,0.00012958,0,0.00038875,0.00012958,0,0,0.00012958,0.00025917,0,0.00025917,0,0,0.00038875,0.00012958,0.00012958,0.00025917,0.00012958,0.00012958,0.00025917,0.0007775,0,0,0.00025917,0.00012958,0.00038875,0.00012958,0.00012958,0,0.00012958,0.00012958,0.00025917,0,0.00012958,0.00025917,0,0.00012958,0,0.00012958,0,0,0,0,0,0,0.00025917,0,0,0.00012958,0.00038875,0,0,0,0.00025917,0,0,0,1,
1994clinton930430.txt,0.027914,0.018133,0.012565,0.0088782,0.010082,0.008201,0.0059439,0.0039124,0.005041,0.0038372,0.00097811,0.0017305,0.0011286,0.0027086,0.00022572,0.0026334,0.0038372,0.0022572,0.0023324,0.0017305,0.0022572,0.00022572,0.00067715,0.00067715,0.00097811,0.00060191,0.00052667,0.00075239,0.00090287,0.00097811,0.0010533,0.00052667,0.00022572,0.00030096,0.00097811,0.00037619,0.00052667,0.0000752,0.00067715,0.00067715,0.0018057,0.00090287,0.00060191,0.00060191,0,0.00015048,0.00015048,0.00030096,0.0010533,0.00082763,0.00022572,0.0000752,0.00052667,0.00060191,0.00045143,0.00052667,0.00060191,0.00067715,0.00022572,0.00030096,0.00015048,0.00022572,0,0.00022572,0.00037619,0.00090287,0.00060191,0.00015048,0.00067715,0.00045143,0.00030096,0.00015048,0.00060191,0.0000752,0.00030096,0.00015048,0.00030096,0.00060191,0.00022572,0.00052667,0.00045143,0.00030096,0.00037619,0.0000752,0.00030096,0.00022572,0,0.0000752,0,0.00045143,0,0.0010533,0,0.0000752,0.0000752,0.00022572,0.0000752,0.00045143,0,0.00015048,0,0.00015048,0.00045143,0.00030096,0.0000752,0.00037619,0.00067715,0.00015048,0.00037619,0.00015048,0,0.00037619,0.0000752,0,0,0,0.0000752,0.00037619,0.00037619,0,0.00037619,0.0000752,0.0000752,0,0.0000752,0.00015048,0,0.00022572,0.0000752,0,0.00030096,0.0000752,0.00015048,0.00015048,0.00022572,0.0000752,0.00022572,0.00052667,0,0,0.00015048,0.0000752,0.00037619,0.00015048,0.00015048,0,0.0000752,0.0000752,0.00022572,0,0.00030096,0.00015048,0,0.0000752,0,0.0000752,0.00037619,0,0.0000752,0,0.0000752,0,0.00022572,0.0000752,0.0000752,0.00015048,0.00022572,0,0.0000752,0,0.00022572,0,0,0,1,
1994clinton940125.txt,0.026386,0.013735,0.010241,0.0043373,0.0079518,0.0075904,0.0046988,0.003012,0.0045783,0.0049398,0.00060241,0.0016867,0.0021687,0.0040964,0.0014458,0.0027711,0.0024096,0.0021687,0.0014458,0.00072289,0.0026506,0.00024096,0.00048193,0.00036145,0.00060241,0.00072289,0.0013253,0.00036145,0.0013253,0.00060241,0.0016867,0.00096386,0.0012048,0.00024096,0.00096386,0,0.00096386,0.00036145,0.00024096,0.00060241,0.00024096,0.0024096,0.00072289,0.00048193,0.00024096,0.00036145,0.00060241,0,0.00036145,0.00060241,0.00024096,0.00024096,0.00036145,0.00084337,0.0013253,0.00048193,0.0012048,0.00024096,0.00012048,0.00084337,0.00048193,0.00024096,0,0.00012048,0.00072289,0.0013253,0.00096386,0.00096386,0.00036145,0.00024096,0.00048193,0.00012048,0.00036145,0,0.00024096,0.00036145,0.00012048,0.00036145,0.00024096,0.00048193,0.00036145,0.00012048,0.00036145,0.00048193,0.00036145,0.00048193,0,0.00024096,0,0,0.00024096,0.00048193,0.00012048,0.00012048,0.00024096,0.00072289,0,0.00036145,0,0.00024096,0.00024096,0.00036145,0.00072289,0.00024096,0.00036145,0,0,0.00036145,0.00048193,0,0,0.00024096,0.00024096,0.00036145,0.00024096,0.00084337,0.00036145,0.00012048,0.00012048,0.00024096,0.00024096,0,0.00048193,0.00012048,0.00012048,0.00012048,0,0.00012048,0,0.00024096,0.00024096,0,0.00012048,0.00012048,0,0.00036145,0.00036145,0.00024096,0,0,0.00012048,0,0.00036145,0.00024096,0.00036145,0,0,0.00024096,0.00024096,0,0.00012048,0.00012048,0.00036145,0.00012048,0.00036145,0,0,0.00012048,0,0.00012048,0,0,0.00012048,0,0,0.00024096,0,0,0.00012048,0,0.00024096,0,0,0.00048193,1,
1994clinton940201.txt,0.023645,0.018205,0.010253,0.010672,0.0087884,0.0039757,0.0077422,0.0039757,0.0037665,0.0052312,0.0023017,0.00020925,0.0039757,0.003348,0.000837,0.0018832,0.0020925,0.0029295,0.0010462,0.000837,0.0012555,0.000837,0.0010462,0.0012555,0.0023017,0,0.0031387,0.0014647,0.0014647,0.0014647,0.0004185,0.0014647,0.0012555,0,0,0.000837,0.000837,0.00020925,0,0.0004185,0,0.005022,0.00020925,0.0012555,0.0004185,0.0004185,0.00062775,0.00020925,0.0014647,0,0.00020925,0.0014647,0.00062775,0,0.000837,0.00020925,0,0.00020925,0.00020925,0.00020925,0,0.0004185,0,0.00020925,0.0010462,0.0023017,0.0004185,0.00020925,0.0014647,0.000837,0.0010462,0,0.00020925,0,0.0004185,0,0.00062775,0.00062775,0,0.00062775,0.0004185,0,0,0.00020925,0,0,0.0004185,0.00020925,0.00020925,0.0004185,0,0,0,0,0,0.0004185,0,0.0004185,0,0,0,0.00020925,0.00020925,0.00020925,0.00062775,0.00020925,0.0004185,0.0004185,0,0,0,0,0,0.00020925,0,0,0.0004185,0.00020925,0,0.0004185,0.00020925,0.00020925,0,0,0,0,0,0.00020925,0.0004185,0.00020925,0.00020925,0,0,0,0.00020925,0,0,0,0,0,0.0004185,0,0,0.00020925,0.0004185,0,0,0,0.00020925,0,0,0,0.0004185,0.00020925,0,0,0,0,0,0,0,0,0.00062775,0,0.00020925,0.00020925,0.0004185,0,0,0,0,0,0.00062775,0.0004185,1,
1994clinton940315.txt,0.025379,0.018677,0.015931,0.0078005,0.0070314,0.0079103,0.0051637,0.0026368,0.0037354,0.0038453,0.0015381,0.0023072,0.0023072,0.0030762,0.00098879,0.0020875,0.0018677,0.003296,0.0026368,0.00087893,0.0014283,0.0030762,0.00076906,0.00087893,0.0035157,0.0003296,0.0024171,0.00054933,0.0006592,0.0015381,0.0018677,0.0017579,0.0017579,0.00021973,0.0012085,0.00043946,0.0015381,0,0.00010987,0.0003296,0.00076906,0.00076906,0.0003296,0.0003296,0,0.00010987,0.0015381,0.0003296,0.00043946,0.00021973,0.00054933,0.0003296,0.00054933,0,0.00021973,0.0003296,0.00021973,0.0003296,0,0.00021973,0.00010987,0.00043946,0,0.00010987,0,0.0003296,0.00021973,0.00054933,0.00043946,0.00021973,0.00021973,0.00010987,0.0003296,0.0003296,0.00021973,0.00010987,0.00010987,0.00043946,0.00043946,0.00076906,0.00054933,0.00087893,0,0,0.00010987,0.00021973,0.0003296,0.0003296,0,0.00021973,0.00021973,0.00054933,0,0.00021973,0.00021973,0,0.00010987,0.00043946,0,0.00010987,0,0.00021973,0.00076906,0,0.0006592,0.00010987,0,0.00021973,0.00043946,0,0,0.0006592,0,0.00087893,0,0,0.00076906,0.00010987,0,0.0003296,0.00010987,0.0003296,0.00021973,0,0.00021973,0,0.00010987,0,0.00021973,0.00010987,0.00054933,0,0.0006592,0,0.00010987,0.0003296,0.00021973,0,0,0,0.00010987,0,0,0.00010987,0,0,0,0,0.0003296,0,0.00054933,0,0.00010987,0,0,0.00010987,0,0.00010987,0,0,0.00010987,0,0.0003296,0.00010987,0.00010987,0,0.00010987,0,0,0,0.0003296,0,0,0.00010987,1,
