"Speeches","because_CS","last_AP","year_NN","say_VB","down_RP","i've_PPSS","first_OD","then_RB","always_RB","change_VB","there's_EX","freedom_NN","obama_NP","understand_VB","getting_VBG","clinton_NP","nuclear_JJ","already_RB","live_VB","choose_VB","clear_JJ","moment_NN","use_VB","fair_JJ","republicans_NPS","try_VB","number_NN","because_RB","side_NN","since_CS","record_NN","ahead_RB","decades_NNS","during_IN","struggling_VBG","helping_VBG","looking_VBG","example_NN","story_NN","aren't_BER","solve_VB","in_RP","gave_VBD","strategy_NN","knew_VBD","coverage_NN","2008_CD","given_VBN","deserve_VB","iowa_NP","full_JJ","tried_VBD","threat_NN","issues_NNS","hire_VB","plans_NNS","drug_NN","fundamental_JJ","november_NP","race_NN","almost_RB","helped_VBD","past_AP","wealthiest_JJT","past_NN","share_VB","courage_NN","set_VB","news_NN","cities_NNS","necessary_JJ","housing_NN","parties_NNS","answer_NN","facing_VBG","exactly_RB","anyone_PN","safe_JJ","began_VBD","steps_NNS","called_VBN","differences_NNS","achieve_VB","depression_NN","show_VB","student_NN","cutting_VBG","works_VBZ","recession_NN","accountability_NN","republican_NP","decide_VB","happens_VBZ","losing_VBG","prevent_VB","leader_NN","–_VBZ","east_NR","morning_NN","streets_NNS","win/loss"
"1992clinton920416.txt",0.0015308,0.00095675,0.0017222,0.00019135,0.00095675,0.00095675,0.00057405,0.00057405,0.00019135,0.0019135,0,0,0,0,0,0.0007654,0,0.0007654,0,0.0003827,0.00019135,0.00057405,0.00057405,0,0.00019135,0,0,0,0,0.0003827,0.00019135,0.0007654,0.00095675,0,0.00019135,0,0,0.0003827,0,0.00019135,0,0.00019135,0,0.0013395,0.00019135,0,0,0,0,0,0,0,0,0,0.00019135,0.0003827,0,0.0003827,0,0.00019135,0.0003827,0,0,0,0.00019135,0,0.0003827,0.00019135,0,0.0003827,0,0,0.00019135,0,0,0,0,0.00019135,0.00019135,0,0,0,0,0.00019135,0.0003827,0.00019135,0.00019135,0.00019135,0.00019135,0,0.00019135,0.0003827,0,0,0,0,0,0,0,0.00019135,1
"1992clinton920422.txt",0.0035579,0.0023719,0.0021347,0.00094877,0.0026091,0,0.001186,0.00094877,0.00047438,0.00071157,0.00047438,0,0,0.00023719,0.00023719,0,0,0,0.0021347,0,0,0,0,0,0.00023719,0.00047438,0.00023719,0,0,0.00023719,0,0,0,0,0,0,0,0.00071157,0,0.00023719,0.00023719,0.00023719,0.00047438,0.00023719,0.00023719,0.00047438,0,0.00023719,0.00023719,0,0,0,0,0.00023719,0,0,0.00023719,0,0.00023719,0.00023719,0,0,0,0.00023719,0,0,0,0,0,0.00023719,0,0.00047438,0,0.00071157,0,0,0,0,0.00023719,0,0,0,0,0.00047438,0.00047438,0.00023719,0.00023719,0,0,0,0,0.00047438,0,0,0,0,0,0,0,0,1
"1992clinton920716.txt",0.0017914,0.00039809,0.00059713,0.0021895,0.0011943,0.00019904,0.00019904,0.00079618,0.0015924,0.00059713,0.00019904,0.00039809,0,0,0,0,0,0,0.00039809,0.00019904,0.00059713,0.00059713,0.00079618,0.00019904,0.00019904,0,0,0.00019904,0.00039809,0,0,0.00039809,0,0,0.00039809,0.00019904,0,0,0,0,0,0.00019904,0.00019904,0,0.00019904,0.00019904,0,0.00059713,0.00039809,0,0,0.00019904,0,0,0,0,0,0,0,0.00019904,0,0,0,0.00019904,0,0,0.00039809,0,0.00019904,0.00039809,0.00019904,0,0,0,0,0,0,0,0.00019904,0,0,0,0,0,0,0.00019904,0,0.00039809,0,0,0.00019904,0,0,0.00039809,0,0,0,0,0,0.00039809,1
"1992clinton920814.txt",0,0,0,0,0.00048008,0,0.0019203,0.00048008,0.00048008,0.00096015,0,0.0024004,0,0.00048008,0,0,0.0014402,0.00048008,0.00096015,0,0.0019203,0,0,0,0.0014402,0,0.00048008,0,0.00048008,0,0.00048008,0,0,0,0,0,0,0.00048008,0,0,0,0,0.00048008,0.00096015,0,0,0,0,0,0,0.00048008,0.00048008,0,0.00048008,0,0,0,0.00096015,0,0,0,0.00048008,0,0,0.00048008,0.00048008,0,0,0,0,0.00096015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048008,0,0,0,0,0.00048008,0,0.00048008,0,0,1
"1992clinton921002.txt",0,0,0,0,0,0,0,0.0010965,0,0,0,0.004386,0,0,0,0,0,0,0,0,0.0010965,0.0010965,0.0010965,0,0,0,0,0,0,0,0.0010965,0,0,0,0,0.0010965,0,0,0,0,0,0,0.0010965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0,0,0,0.0010965,0,0,0,0,0,0.002193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0.0010965,0,0,0,0,0,0,0.002193,0,0,1
"1994clinton930217.txt",0.0019438,0.0014254,0.0027213,0.0027213,0.00012958,0.00012958,0.00038875,0.00025917,0.00012958,0.00064792,0.00025917,0.00012958,0,0.00012958,0,0,0.00012958,0.00025917,0.00025917,0.00025917,0.00038875,0.00025917,0.00038875,0.00025917,0.00051834,0,0,0.00025917,0,0.00051834,0,0.00012958,0.00025917,0.00012958,0,0.00025917,0,0,0.00012958,0,0,0.00038875,0,0.00012958,0,0.00025917,0,0.00012958,0.00012958,0,0.00012958,0,0,0,0,0.00012958,0,0.00038875,0,0,0.00038875,0,0,0.00012958,0.00064792,0,0.00025917,0.00012958,0,0.00025917,0.00025917,0.00012958,0.0007775,0,0,0,0,0,0,0.00025917,0.00025917,0.00012958,0,0,0.00012958,0,0.00025917,0.00025917,0,0,0,0.00025917,0,0.00012958,0,0,0,0,0,0,1
"1994clinton930430.txt",0.0022572,0.00158,0.0022572,0.0021819,0.00045143,0.00075239,0.00052667,0.00022572,0.00022572,0.00067715,0.00030096,0.0000752,0,0.0000752,0,0,0.0000752,0.00037619,0.00037619,0.00030096,0.00022572,0.00015048,0.00030096,0.00015048,0.00037619,0,0,0.00015048,0,0.00045143,0,0.00015048,0.00022572,0.00022572,0,0.00082763,0,0.00015048,0.0000752,0.0000752,0,0.00037619,0.00022572,0.0000752,0,0.00015048,0,0.00015048,0.0000752,0,0.0000752,0.00022572,0,0.0000752,0,0.0000752,0.0000752,0.00022572,0.0000752,0,0.00022572,0.0000752,0.00015048,0.0000752,0.00045143,0.00022572,0.00015048,0.00030096,0,0.00022572,0.00015048,0.00022572,0.00052667,0.00015048,0,0.0000752,0.0000752,0,0,0.00015048,0.00022572,0.0000752,0,0,0.00015048,0.00037619,0.00022572,0.00022572,0,0,0,0.00015048,0,0.00022572,0,0.0000752,0,0,0,0,1
"1994clinton940125.txt",0.0021687,0.0010843,0.0036145,0.0018072,0.00096386,0.00012048,0.00096386,0.00024096,0.00084337,0.00072289,0.00036145,0.00036145,0,0.00024096,0,0.00012048,0.00048193,0.00024096,0.00012048,0.00072289,0.00024096,0.00012048,0.00036145,0.00048193,0.00024096,0,0,0.00024096,0,0,0.00024096,0.00036145,0,0,0,0.00012048,0,0.00024096,0,0.00012048,0.00060241,0,0.00036145,0.00048193,0,0.0010843,0,0.00036145,0.00024096,0,0.00012048,0.00048193,0,0,0,0,0.00048193,0.00012048,0,0,0.00012048,0.00024096,0,0.00036145,0,0.00012048,0.00012048,0.00036145,0,0.00012048,0.00024096,0.00012048,0.00024096,0.00012048,0.00024096,0,0.00012048,0.00012048,0.00048193,0.00048193,0,0.00012048,0.00036145,0,0.00012048,0,0,0.00024096,0,0,0,0,0.00012048,0.00024096,0.00024096,0,0,0.00012048,0.00036145,0.00048193,1
"1994clinton940201.txt",0.0029295,0.0012555,0.0023017,0.0027202,0.0004185,0,0.0014647,0.0012555,0.00020925,0.000837,0.00062775,0,0,0.00020925,0.0004185,0.00020925,0,0,0.00020925,0.00020925,0.00020925,0.00020925,0.00020925,0,0.0004185,0.0004185,0.0004185,0.00020925,0.00020925,0.0004185,0,0,0.00062775,0.00020925,0.0004185,0,0,0.0010462,0,0,0.0004185,0,0,0,0,0.0018832,0,0.0004185,0,0,0.0004185,0.00062775,0,0.0004185,0,0.00020925,0,0.0004185,0,0,0.0004185,0,0,0,0,0,0,0,0.00020925,0,0.0004185,0,0,0.00020925,0,0,0.00020925,0,0.00020925,0,0,0.00020925,0,0,0,0,0,0.0004185,0,0,0,0.00020925,0.00020925,0.00020925,0,0.00020925,0,0,0,0.0004185,1
"1994clinton940315.txt",0.003296,0.0010987,0.0034058,0.0017579,0.00076906,0.00098879,0.0017579,0.001648,0.0003296,0.00043946,0.0003296,0.00010987,0,0.00043946,0.00021973,0.00021973,0,0.00043946,0.0003296,0.00021973,0,0,0,0.00010987,0,0.0020875,0.0003296,0.00010987,0.00010987,0.00021973,0.00021973,0.00010987,0,0.0003296,0,0,0,0.00043946,0.0003296,0.00054933,0.00010987,0.00087893,0,0,0,0.0013184,0,0.00010987,0,0,0.0006592,0,0.00010987,0,0.0003296,0.0003296,0.00021973,0,0,0,0.00021973,0.00010987,0.00010987,0,0,0,0,0.00010987,0.00010987,0.00010987,0,0,0,0.0003296,0.00010987,0.00021973,0,0,0.00010987,0,0.0003296,0,0,0,0.00021973,0,0,0.00010987,0.00010987,0,0.00010987,0,0,0.00021973,0,0,0,0,0.00021973,0.00010987,1
